

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.046  000.046: --- NVIM STARTING ---
000.581  000.535: event init
000.853  000.271: early init
001.055  000.202: locale set
001.193  000.139: init first window
002.643  001.450: inits 1
002.709  000.066: window checked
002.718  000.009: parsing arguments
004.438  000.276  000.276: require('vim.shared')
005.404  000.278  000.278: require('vim._options')
005.421  000.960  000.682: require('vim._editor')
005.430  001.337  000.101: require('vim._init_packages')
005.445  001.390: init lua interpreter
005.870  000.426: expanding arguments
006.019  000.149: inits 2
007.061  001.042: init highlight
007.067  000.006: waiting for UI
007.933  000.866: done waiting for UI
007.981  000.048: clear screen
008.606  000.626: init default mappings & autocommands
009.450  000.843: --cmd commands
080.426  000.195  000.195: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/ftplugin.vim
088.203  000.112  000.112: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/indent.vim
089.403  000.165  000.165: require('vim.loader')
089.929  000.072  000.072: require('vim.fs')
132.099  042.630  042.558: require('config/autocmds')
132.629  000.508  000.508: require('config/commands')
133.426  000.782  000.782: require('config/options')
133.924  000.483  000.483: require('config/statusline')
134.413  000.474  000.474: require('config/vars')
135.041  000.227  000.227: require('neodev')
135.461  000.406  000.406: require('neodev.config')
136.361  000.560  000.560: require('neodev.util')
136.380  000.884  000.324: require('neodev.lsp')
141.743  000.605  000.605: require('vim.lsp.log')
143.884  002.125  002.125: require('vim.lsp.protocol')
145.000  000.381  000.381: require('vim.lsp._snippet')
145.487  000.472  000.472: require('vim.highlight')
145.521  000.017  000.017: require('vim.F')
145.572  001.672  000.802: require('vim.lsp.util')
145.611  006.631  002.229: require('vim.lsp.handlers')
146.233  000.615  000.615: require('vim.lsp.rpc')
146.904  000.654  000.654: require('vim.lsp.sync')
147.560  000.642  000.642: require('vim.lsp.semantic_tokens')
148.431  000.856  000.856: require('vim.lsp.buf')
148.755  000.309  000.309: require('vim.lsp.diagnostic')
149.063  000.295  000.295: require('vim.lsp.codelens')
149.279  012.362  002.358: require('vim.lsp')
149.683  013.296  000.935: require('lspconfig.util')
151.745  000.949  000.949: require('vim.diagnostic')
151.763  001.196  000.247: require('lsp-status/diagnostics')
152.400  000.306  000.306: require('lsp-status/util')
152.787  000.377  000.377: require('lsp-status/redraw')
